Fluid,Type,Rho_reduced,Temp_reduced,D_reduced,Ref.
n-Decane,C10H22,0.782036129,1.012188585,13.36154683,"Leverant et al., 2023"
n-Decane,C10H22,0.786575812,1.030217389,15.4401082,"Leverant et al., 2023"
n-Decane,C10H22,0.760245649,1.05413315,17.64941461,"Leverant et al., 2023"
n-Decane,C10H22,0.72059908,1.12617938,22.27145533,"Leverant et al., 2023"
n-Decane,C10H22,0.747231889,1.116066777,19.86925172,"Angelis et al., 2025"
n-Decane,C10H22,0.719388498,1.179173459,24.38174259,"Angelis et al., 2025"
n-Decane,C10H22,0.743297497,0.814489008,15.11247156,"Angelis et al., 2025"
n-Decane,C10H22,0.812905976,1.089880884,15.36151975,"Angelis et al., 2025"
n-Decane,C10H22,0.791418141,0.732659066,8.925408317,"Angelis et al., 2025"
n-Decane,C10H22,0.900975834,0.80053576,4.924545103,"Angelis et al., 2025"
n-Decane,C10H22,0.858908101,1.156505038,12.20588375,"Angelis et al., 2025"
n-Decane,C10H22,0.933661555,0.861329587,4.271699052,"Angelis et al., 2025"
n-Decane,C10H22,0.737244586,0.925897765,17.53936784,"Angelis et al., 2025"
n-Decane,C10H22,0.760245649,0.623178361,9.425492329,"Angelis et al., 2025"
n-Decane,C10H22,0.918226631,0.890867069,4.978058641,"Angelis et al., 2025"
n-Decane,C10H22,0.715756751,1.124926263,22.76074107,"Angelis et al., 2025"
