Fluid,Type,Rho_reduced,Temp_reduced,H_reduced,D_reduced,Ref.
Cyclohexane,C6H12,0.995423653,1.486416441,8.899358723,5.984176676,"Leverant et al., 2023"
Cyclohexane,C6H12,0.678107662,2.282210673,11.86581163,59.56967709,"Leverant et al., 2023"
Cyclohexane,C6H12,0.815498334,2.015389472,11.86581163,29.4054648,"Leverant et al., 2023"
Cyclohexane,C6H12,0.883064432,1.837508671,11.86581163,17.99929918,"Leverant et al., 2023"
Cyclohexane,C6H12,0.904896375,1.77062549,11.86581163,16.24551579,"Leverant et al., 2023"
Cyclohexane,C6H12,0.942349448,1.65944999,11.86581163,12.22899619,"Leverant et al., 2023"
Cyclohexane,C6H12,0.968321932,1.570509589,11.86581163,9.813883076,"Leverant et al., 2023"
Cyclohexane,C6H12,0.981308173,1.532087336,11.86581163,8.113813562,"Leverant et al., 2023"
Cyclohexane,C6H12,0.989401048,1.505360746,11.86581163,6.874514805,"Leverant et al., 2023"
Cyclohexane,C6H12,0.995423653,1.486416441,11.86581163,6.637651672,"Leverant et al., 2023"
Cyclohexane,C6H12,0.678107662,2.282210673,17.79871745,57.91024622,"Leverant et al., 2023"
Cyclohexane,C6H12,0.815498334,2.015389472,17.79871745,30.08425213,"Leverant et al., 2023"
Cyclohexane,C6H12,0.883064432,1.837508671,17.79871745,19.90878818,"Leverant et al., 2023"
Cyclohexane,C6H12,0.904896375,1.77062549,17.79871745,19.53686205,"Leverant et al., 2023"
Cyclohexane,C6H12,0.942349448,1.65944999,17.79871745,13.05544282,"Leverant et al., 2023"
Cyclohexane,C6H12,0.968321932,1.570509589,17.79871745,9.813188603,"Leverant et al., 2023"
Cyclohexane,C6H12,0.981308173,1.532087336,17.79871745,8.426613709,"Leverant et al., 2023"
Cyclohexane,C6H12,0.989401048,1.505360746,17.79871745,7.864857023,"Leverant et al., 2023"
Cyclohexane,C6H12,0.995423653,1.486416441,17.79871745,6.964508906,"Leverant et al., 2023"
Cyclohexane,C6H12,0.678107662,2.282210673,26.69807617,62.82424024,"Leverant et al., 2023"
Cyclohexane,C6H12,0.815498334,2.015389472,26.69807617,33.09242111,"Leverant et al., 2023"
Cyclohexane,C6H12,0.883064432,1.837508671,26.69807617,23.64634522,"Leverant et al., 2023"
Cyclohexane,C6H12,0.904896375,1.77062549,26.69807617,17.68178141,"Leverant et al., 2023"
Cyclohexane,C6H12,0.942349448,1.65944999,26.69807617,14.19176802,"Leverant et al., 2023"
Cyclohexane,C6H12,0.968321932,1.570509589,26.69807617,10.30738984,"Leverant et al., 2023"
Cyclohexane,C6H12,0.981308173,1.532087336,26.69807617,9.958261584,"Leverant et al., 2023"
Cyclohexane,C6H12,0.989401048,1.505360746,26.69807617,9.234716674,"Leverant et al., 2023"
Cyclohexane,C6H12,0.995423653,1.486416441,26.69807617,7.657137801,"Leverant et al., 2023"
Ethane,C2H6,0.449289298,1.39843113,8.142015915,73.35144361,"Leverant et al., 2023"
Ethane,C2H6,0.4607946,1.426049269,8.142015915,69.83010875,"Leverant et al., 2023"
Ethane,C2H6,0.530991501,1.338475002,8.142015915,51.37015519,"Leverant et al., 2023"
Ethane,C2H6,0.590411285,1.267910891,8.142015915,41.120736,"Leverant et al., 2023"
Ethane,C2H6,0.623179549,1.39258973,8.142015915,38.34770443,"Leverant et al., 2023"
Ethane,C2H6,0.625582555,1.238376774,8.142015915,33.91875982,"Leverant et al., 2023"
Ethane,C2H6,0.650486435,1.327166052,8.142015915,32.41268869,"Leverant et al., 2023"
Ethane,C2H6,0.685876159,1.238376774,8.142015915,27.46448282,"Leverant et al., 2023"
Ethane,C2H6,0.687041253,1.327166052,8.142015915,29.29909454,"Leverant et al., 2023"
Ethane,C2H6,0.698255281,1.081593601,8.142015915,22.26562756,"Leverant et al., 2023"
Ethane,C2H6,0.718571604,1.172953095,8.142015915,21.54326115,"Leverant et al., 2023"
Ethane,C2H6,0.736412103,1.018740138,8.142015915,18.15447021,"Leverant et al., 2023"
Ethane,C2H6,0.757966338,0.967335819,8.142015915,14.59525702,"Leverant et al., 2023"
Ethane,C2H6,0.760587799,0.942988865,8.142015915,14.77697631,"Leverant et al., 2023"
Ethane,C2H6,0.764155899,1.042105738,8.142015915,15.70889181,"Leverant et al., 2023"
Ethane,C2H6,0.776607839,0.904108507,8.142015915,12.7935497,"Leverant et al., 2023"
Ethane,C2H6,0.807774098,1.018740138,8.142015915,12.81992961,"Leverant et al., 2023"
Ethane,C2H6,0.836974262,0.855180942,8.142015915,8.175193344,"Leverant et al., 2023"
Ethane,C2H6,0.849644657,0.724333585,8.142015915,5.747335793,"Leverant et al., 2023"
Ethane,C2H6,0.854159395,0.789757263,8.142015915,6.27038288,"Leverant et al., 2023"
Ethane,C2H6,0.449289298,1.39843113,12.21302387,73.70708905,"Leverant et al., 2023"
Ethane,C2H6,0.4607946,1.426049269,12.21302387,72.01108259,"Leverant et al., 2023"
Ethane,C2H6,0.530991501,1.338475002,12.21302387,52.79916075,"Leverant et al., 2023"
Ethane,C2H6,0.590411285,1.267910891,12.21302387,43.60536069,"Leverant et al., 2023"
Ethane,C2H6,0.623179549,1.39258973,12.21302387,42.15966128,"Leverant et al., 2023"
Ethane,C2H6,0.625582555,1.238376774,12.21302387,34.80999791,"Leverant et al., 2023"
Ethane,C2H6,0.650486435,1.327166052,12.21302387,35.37517229,"Leverant et al., 2023"
Ethane,C2H6,0.685876159,1.238376774,12.21302387,28.28401186,"Leverant et al., 2023"
Ethane,C2H6,0.687041253,1.327166052,12.21302387,31.31222372,"Leverant et al., 2023"
